Document Date,Year,Purchase Number,Material Description,Group,Buyer Name,Store Location,Net Price,Currency,Net price in USD,Order Quantity,Total price,Vendor,Delivered Quantity,Paid Amount,Balance,Remarks,Savings,Savings Amount
01/05/2021,2021,100500,Screwdrivers,Hardware supplies,Emily Johnson,Washington,$5.00,CAD,$3.80,29,$110.20,OmniSource Supplies,9,$77.14,$33.06,"""Smart bargaining with the supplier led to a significant savings of 4.8% for the satisfied buyers.""",4.8,$5.29
02/05/2021,2021,100500,Garden Trellis,Gardening supplies,Emily Johnson,Arizona,$20.00,CAD,$15.20,7,$106.40,OmniSource Supplies,7,$0.00,$106.40,"""Smart bargaining with the supplier led to a significant savings of 4.8% for the satisfied buyers.""",4.8,$5.11
03/05/2021,2021,100500,Vanity Trays,Bathroom supplies,Emily Johnson,Idaho,$18.00,CAD,$13.68,8,$109.44,OmniSource Supplies,8,$0.00,$109.44,"""Smart bargaining with the supplier led to a significant savings of 4.8% for the satisfied buyers.""",4.8,$5.25
04/05/2021,2021,100500,Eye Bolts,Hardware supplies,Emily Johnson,New Mexico,$1.50,CAD,$1.14,25,$28.50,OmniSource Supplies,13,$14.25,$14.25,"""Smart bargaining with the supplier led to a significant savings of 4.8% for the satisfied buyers.""",4.8,$1.37
05/05/2021,2021,100500,Table Lamps,Home Decor,Emily Johnson,New Mexico,$40.00,CAD,$30.40,40,"$1,216.00",OmniSource Supplies,40,$0.00,"$1,216.00","""Smart bargaining with the supplier led to a significant savings of 4.8% for the satisfied buyers.""",4.8,$58.37
06/05/2021,2021,100500,Storage Baskets,Home Decor,Emily Johnson,New Mexico,$18.00,CAD,$13.68,49,$670.32,OmniSource Supplies,49,$0.00,$670.32,"""Smart bargaining with the supplier led to a significant savings of 4.8% for the satisfied buyers.""",4.8,$32.18
07/05/2021,2021,100500,Traffic Cones,Hardware supplies,Emily Johnson,New Mexico,$10.00,CAD,$7.60,3,$22.80,OmniSource Supplies,3,$0.00,$22.80,"""Smart bargaining with the supplier led to a significant savings of 4.8% for the satisfied buyers.""",4.8,$1.09
08/05/2021,2021,100501,Garment Racks,Home Decor,Emily Johnson,Idaho,$40.00,CAD,$30.40,9,$273.60,OmniSource Supplies,9,$0.00,$273.60,"""After tough negotiations, the buyers were disappointed to get 0% savings from the supplier.""",0,$0.00
09/05/2021,2021,100502,Plant Labels,Gardening supplies,Jessica Brown,Washington,$5.00,USD,$5.00,3,$15.00,Superior General Supplies,2,$6.00,$9.00,"""The buyers' negotiation efforts led to a savings of approximately 4.5% on their purchase from the supplier.""",4.5,$0.68
10/05/2021,2021,100503,Safety Lanyards,Hardware supplies,Jessica Brown,Nevada,$30.00,USD,$30.00,1,$30.00,Superior General Supplies,0,$18.00,$12.00,"""Through shrewd negotiations, buyers were able to obtain remarkable savings of around 3.7% on their order.""",3.7,$1.11
11/05/2021,2021,100504,Wrenches,Hardware supplies,Emily Johnson,Arizona,$7.00,CAD,$5.32,41,$218.12,OmniSource Supplies,25,$87.25,$130.87,""" """,0,$0.00
12/05/2021,2021,100505,Garden Sheds,Gardening supplies,Jessica Brown,Arizona,$500.00,USD,$500.00,37,"$18,500.00",Superior General Supplies,26,"$5,550.00","$12,950.00","""Despite their hopes, the buyers received 0% savings, which left them feeling discouraged.""",0,$0.00
13/05/2021,2021,100506,Garden Statues,Gardening supplies,Michael Williams,Colorado,$40.00,USD,$40.00,26,"$1,040.00",Global Essentials Inc.,21,$208.00,$832.00,"""Buyers successfully negotiated with the supplier and received a small discount of 1.5% on their purchase.""",1.5,$15.60
14/05/2021,2021,100507,Disinfectant Spray,School supplies,Emily Johnson,Washington,$3.50,CAD,$2.66,43,$114.38,OmniSource Supplies,4,$102.94,$11.44,""" """,0,$0.00
15/05/2021,2021,100508,Wall Clocks,Home Decor,Christopher Jones,Colorado,$15.00,USD,$15.00,49,$735.00,All-Purpose Depot,44,$73.50,$661.50,"""After tough negotiations, the buyers were disappointed to get 0% savings from the supplier.""",0,$0.00
16/05/2021,2021,100509,Outdoor Clocks,Gardening supplies,John Smith,Arizona,$20.00,USD,$20.00,31,$620.00,Universal Supply Co.,31,$0.00,$620.00,""" """,0,$0.00
17/05/2021,2021,100510,Bath Mats,Bathroom supplies,Michael Williams,Idaho,$10.00,USD,$10.00,6,$60.00,Global Essentials Inc.,6,$0.00,$60.00,"""Through shrewd negotiations, buyers were able to obtain savings of around 7.30% on their order.""",7.3,$4.38
18/05/2021,2021,100510,Bedding Sets,Home Decor,Michael Williams,Colorado,$80.00,USD,$80.00,5,$400.00,Global Essentials Inc.,5,$0.00,$400.00,"""Through shrewd negotiations, buyers were able to obtain savings of around 7.30% on their order.""",7.3,$29.20
19/05/2021,2021,100510,Toilet Paper Stands,Bathroom supplies,Michael Williams,California,$12.00,USD,$12.00,40,$480.00,Global Essentials Inc.,8,$384.00,$96.00,"""Through shrewd negotiations, buyers were able to obtain savings of around 7.30% on their order.""",7.3,$35.04
20/05/2021,2021,100510,Dish Racks,Home Decor,Michael Williams,New Mexico,$35.00,USD,$35.00,28,$980.00,Global Essentials Inc.,28,$0.00,$980.00,"""Through shrewd negotiations, buyers were able to obtain savings of around 7.30% on their order.""",7.3,$71.54
21/05/2021,2021,100510,Indoor Plants,Home Decor,Michael Williams,Utah,$20.00,USD,$20.00,50,"$1,000.00",Global Essentials Inc.,50,$0.00,"$1,000.00","""Through shrewd negotiations, buyers were able to obtain savings of around 7.30% on their order.""",7.3,$73.00
22/05/2021,2021,100510,Plant Pots,Home Decor,Michael Williams,California,$10.00,USD,$10.00,4,$40.00,Global Essentials Inc.,4,$0.00,$40.00,"""Through shrewd negotiations, buyers were able to obtain savings of around 7.30% on their order.""",7.3,$2.92
23/05/2021,2021,100510,Shoe Storage Boxes,Home Decor,Michael Williams,Idaho,$15.00,USD,$15.00,28,$420.00,Global Essentials Inc.,28,$0.00,$420.00,"""Through shrewd negotiations, buyers were able to obtain savings of around 7.30% on their order.""",7.3,$30.66
24/05/2021,2021,100510,Lawn Edging,Gardening supplies,Michael Williams,New Mexico,$20.00,USD,$20.00,5,$100.00,Global Essentials Inc.,5,$10.00,$90.00,"""Through shrewd negotiations, buyers were able to obtain savings of around 7.30% on their order.""",7.3,$7.30
25/05/2021,2021,100511,Tumblers,Bathroom supplies,Christopher Jones,Washington,$8.00,USD,$8.00,45,$360.00,All-Purpose Depot,5,$324.00,$36.00,""" """,0,$0.00
26/05/2021,2021,100511,Work Gloves,Hardware supplies,Christopher Jones,Utah,$5.00,USD,$5.00,13,$65.00,All-Purpose Depot,13,$0.00,$65.00,""" """,0,$0.00
27/05/2021,2021,100511,Portable Chargers,School supplies,Christopher Jones,New Mexico,$25.00,USD,$25.00,4,$100.00,All-Purpose Depot,2,$40.00,$60.00,""" """,0,$0.00
28/05/2021,2021,100511,Hand Trowels,Gardening supplies,Christopher Jones,Idaho,$8.00,USD,$8.00,34,$272.00,All-Purpose Depot,7,$217.60,$54.40,""" """,0,$0.00
29/05/2021,2021,100511,Shower Curtains,Bathroom supplies,Christopher Jones,Nevada,$20.00,USD,$20.00,9,$180.00,All-Purpose Depot,2,$144.00,$36.00,""" """,0,$0.00
30/05/2021,2021,100511,Carabiners,Hardware supplies,Christopher Jones,Oregon,$2.50,USD,$2.50,37,$92.50,All-Purpose Depot,22,$37.00,$55.50,""" """,0,$0.00
31/05/2021,2021,100511,Pencil Sharpeners,School supplies,Christopher Jones,California,$1.20,USD,$1.20,2,$2.40,All-Purpose Depot,1,$1.68,$0.72,""" """,0,$0.00
01/06/2021,2021,100512,Scissors,School supplies,Jessica Brown,New Mexico,$2.00,USD,$2.00,53,$106.00,Superior General Supplies,37,$31.80,$74.20,"""Buyers negotiated skillfully and received a fantastic 10.00% savings from the supplier, leaving them overjoyed.""",10,$10.60
02/06/2021,2021,100512,Safety Cones,Hardware supplies,Jessica Brown,Arizona,$5.00,USD,$5.00,10,$50.00,Superior General Supplies,10,$0.00,$50.00,"""Buyers negotiated skillfully and received a fantastic 10.00% savings from the supplier, leaving them overjoyed.""",10,$5.00
03/06/2021,2021,100512,Watercolor Pencils,School supplies,Jessica Brown,Oregon,$2.50,USD,$2.50,18,$45.00,Superior General Supplies,13,$13.50,$31.50,"""Buyers negotiated skillfully and received a fantastic 10.00% savings from the supplier, leaving them overjoyed.""",10,$4.50
04/06/2021,2021,100512,Garden Forks,Gardening supplies,Jessica Brown,California,$18.00,USD,$18.00,10,$180.00,Superior General Supplies,5,$90.00,$90.00,"""Buyers negotiated skillfully and received a fantastic 10.00% savings from the supplier, leaving them overjoyed.""",10,$18.00
05/06/2021,2021,100512,Curtains,Home Decor,Jessica Brown,Utah,$40.00,USD,$40.00,39,"$1,560.00",Superior General Supplies,12,"$1,092.00",$468.00,"""Buyers negotiated skillfully and received a fantastic 10.00% savings from the supplier, leaving them overjoyed.""",10,$156.00
06/06/2021,2021,100512,Hooks,Hardware supplies,Jessica Brown,Idaho,$0.80,USD,$0.80,8,$6.40,Superior General Supplies,8,$0.00,$6.40,"""Buyers negotiated skillfully and received a fantastic 10.00% savings from the supplier, leaving them overjoyed.""",10,$0.64
07/06/2021,2021,100512,Bathroom Wall Art,Bathroom supplies,Jessica Brown,Utah,$20.00,USD,$20.00,41,$820.00,Superior General Supplies,33,$164.00,$656.00,"""Buyers negotiated skillfully and received a fantastic 10.00% savings from the supplier, leaving them overjoyed.""",10,$82.00
08/06/2021,2021,100512,Rakes,Gardening supplies,Jessica Brown,Utah,$12.00,USD,$12.00,42,$504.00,Superior General Supplies,42,$0.00,$504.00,"""Buyers negotiated skillfully and received a fantastic 10.00% savings from the supplier, leaving them overjoyed.""",10,$50.40
09/06/2021,2021,100513,Construction Paper,School supplies,Christopher Jones,Utah,$2.00,USD,$2.00,53,$106.00,All-Purpose Depot,53,$0.00,$106.00,"""Negotiating tactfully with the supplier resulted in savings of 3.8% for the pleased buyers.""",3.8,$4.03
10/06/2021,2021,100514,Gardening Gloves,Gardening supplies,Emily Johnson,Oregon,$10.00,CAD,$7.60,38,$288.80,OmniSource Supplies,38,$0.00,$288.80,"""After tough negotiations, the buyers were delighted to get 9.50% savings from the supplier.""",9.5,$27.44
11/06/2021,2021,100514,Trash Bags,School supplies,Emily Johnson,New Mexico,$2.50,CAD,$1.90,25,$47.50,OmniSource Supplies,3,$42.75,$4.75,"""After tough negotiations, the buyers were delighted to get 9.50% savings from the supplier.""",9.5,$4.51
12/06/2021,2021,100514,Power Banks,School supplies,Emily Johnson,Oregon,$20.00,CAD,$15.20,13,$197.60,OmniSource Supplies,7,$98.80,$98.80,"""After tough negotiations, the buyers were delighted to get 9.50% savings from the supplier.""",9.5,$18.77
13/06/2021,2021,100514,Caution Tapes,Hardware supplies,Emily Johnson,Idaho,$5.00,CAD,$3.80,43,$163.40,OmniSource Supplies,26,$65.36,$98.04,"""After tough negotiations, the buyers were delighted to get 9.50% savings from the supplier.""",9.5,$15.52
14/06/2021,2021,100514,Shoe Racks,Home Decor,Emily Johnson,Washington,$25.00,CAD,$19.00,46,$874.00,OmniSource Supplies,46,$0.00,$874.00,"""After tough negotiations, the buyers were delighted to get 9.50% savings from the supplier.""",9.5,$83.03
15/06/2021,2021,100514,Closet Organizers,Home Decor,Emily Johnson,Colorado,$35.00,CAD,$26.60,8,$212.80,OmniSource Supplies,8,$0.00,$212.80,"""After tough negotiations, the buyers were delighted to get 9.50% savings from the supplier.""",9.5,$20.22
16/06/2021,2021,100514,Decorative Throw Pillows,Home Decor,Emily Johnson,Utah,$20.00,CAD,$15.20,33,$501.60,OmniSource Supplies,10,$351.12,$150.48,"""After tough negotiations, the buyers were delighted to get 9.50% savings from the supplier.""",9.5,$47.65
17/06/2021,2021,100515,Bathrobes,Bathroom supplies,Emily Johnson,California,$30.00,CAD,$22.80,16,$364.80,OmniSource Supplies,16,$0.00,$364.80,"""After lengthy discussions, the buyers were met with 0% savings from the supplier, leaving them unsatisfied.""",0,$0.00
18/06/2021,2021,100516,Book Covers,School supplies,Michael Williams,Idaho,$2.00,USD,$2.00,17,$34.00,Global Essentials Inc.,17,$0.00,$34.00,""" """,0,$0.00
19/06/2021,2021,100517,Brackets,Hardware supplies,Christopher Jones,Arizona,$1.00,USD,$1.00,4,$4.00,All-Purpose Depot,4,$0.00,$4.00,"""Negotiating with the supplier proved fruitful, leading to substantial savings of approximately 3.2% for the savvy buyers.""",3.2,$0.13
20/06/2021,2021,100518,Carbon Paper,School supplies,Emily Johnson,Utah,$1.00,CAD,$0.76,10,$7.60,OmniSource Supplies,2,$6.08,$1.52,"""After tough negotiations, the buyers were disappointed to get 0% savings from the supplier.""",0,$0.00
21/06/2021,2021,100519,Paint Brushes,Hardware supplies,Michael Williams,Washington,$3.00,USD,$3.00,8,$24.00,Global Essentials Inc.,3,$14.40,$9.60,"""After tough negotiations, the buyers were delighted to get 9.50% savings from the supplier.""",9.5,$2.28
22/06/2021,2021,100520,Mechanical Pencils,School supplies,Jessica Brown,California,$0.70,USD,$0.70,10,$7.00,Superior General Supplies,10,$0.00,$7.00,""" """,0,$0.00
23/06/2021,2021,100520,Rollerball Pens,School supplies,Jessica Brown,Washington,$1.50,USD,$1.50,52,$78.00,Superior General Supplies,36,$23.40,$54.60,""" """,0,$0.00
